BX,BY,asp1
351.5,303,Dorsal_bladder
345.5,300.25,Dorsal_bladder
331.75,299,Dorsal_bladder
319.25,295.25,Dorsal_bladder
308,293.25,Dorsal_bladder
295.75,291.5,Dorsal_bladder
287.5,290.75,Dorsal_bladder
276.5,288.25,Dorsal_bladder
270.5,287.75,Dorsal_bladder
261.25,286.25,Dorsal_bladder
251.25,285,Dorsal_bladder
241.25,284,Dorsal_bladder
235,284,Dorsal_bladder
228.25,283.5,Dorsal_bladder
219.75,283.75,Dorsal_bladder
214.75,284.75,Dorsal_bladder
208.5,284.75,Dorsal_bladder
201.5,284.75,Dorsal_bladder
196,285,Dorsal_bladder
194,285.25,Dorsal_bladder
188.5,285.25,Dorsal_bladder
185.75,285.25,Dorsal_bladder
180.5,285.5,Dorsal_bladder
174.25,285.25,Dorsal_bladder
169.625,285.875,Dorsal_bladder
165.25,286.75,Dorsal_bladder
159.25,288,Dorsal_bladder
151.5,289.125,Dorsal_bladder
140.625,291.5,Dorsal_bladder
134.875,296.25,Dorsal_bladder
143,299.25,Dorsal_bladder
153.125,301,Dorsal_bladder
164,302.75,Dorsal_bladder
178.125,306.625,Dorsal_bladder
190.5,308.25,Dorsal_bladder
204.5,310.75,Dorsal_bladder
212.5,311.75,Dorsal_bladder
222.25,312.75,Dorsal_bladder
233.75,313.25,Dorsal_bladder
244,313.5,Dorsal_bladder
254.75,312.25,Dorsal_bladder
265.5,311,Dorsal_bladder
272.875,310.25,Dorsal_bladder
280.875,309.625,Dorsal_bladder
288.75,309.125,Dorsal_bladder
295.5,308.25,Dorsal_bladder
302.5,307.25,Dorsal_bladder
309.625,306,Dorsal_bladder
316.375,305,Dorsal_bladder
324.5,304.375,Dorsal_bladder
331.375,304,Dorsal_bladder
339.875,303.5,Dorsal_bladder
347.125,304,Dorsal_bladder
519,292.5,Dorsal_body
512.25,290.625,Dorsal_body
500.625,289.875,Dorsal_body
492.75,289.125,Dorsal_body
481.5,289.125,Dorsal_body
469.5,287.625,Dorsal_body
460.125,286.5,Dorsal_body
451.125,285,Dorsal_body
443.25,285,Dorsal_body
430.875,283.875,Dorsal_body
418.875,282.75,Dorsal_body
406.5,281.625,Dorsal_body
395.625,280.5,Dorsal_body
383.25,279.375,Dorsal_body
372.375,278.25,Dorsal_body
366,277.875,Dorsal_body
356.625,276,Dorsal_body
344.25,274.875,Dorsal_body
334.125,273.375,Dorsal_body
322.875,270.75,Dorsal_body
308.625,268.875,Dorsal_body
295.5,266.625,Dorsal_body
284.25,265.125,Dorsal_body
273.375,264,Dorsal_body
260.25,262.5,Dorsal_body
247.125,260.625,Dorsal_body
235.125,259.875,Dorsal_body
223.875,258.75,Dorsal_body
214.125,258.375,Dorsal_body
202.875,258.375,Dorsal_body
184.5,258.375,Dorsal_body
172.125,259.125,Dorsal_body
159.75,259.875,Dorsal_body
145.125,261.375,Dorsal_body
134.25,263.625,Dorsal_body
124.5,264.375,Dorsal_body
115.125,266.625,Dorsal_body
102.375,268.875,Dorsal_body
88.125,271.125,Dorsal_body
75.75,270.375,Dorsal_body
64.5,271.5,Dorsal_body
54.375,271.5,Dorsal_body
46.5,276.375,Dorsal_body
39.75,278.25,Dorsal_body
27,282.375,Dorsal_body
19.875,286.875,Dorsal_body
16.125,290.25,Dorsal_body
10.875,294.75,Dorsal_body
13.125,299.25,Dorsal_body
18.75,306.75,Dorsal_body
27.375,312,Dorsal_body
43.5,317.25,Dorsal_body
61.875,323.25,Dorsal_body
80.625,328.875,Dorsal_body
96.75,331.125,Dorsal_body
115.5,333,Dorsal_body
125.625,333.375,Dorsal_body
139.5,331.875,Dorsal_body
155.625,332.25,Dorsal_body
179.625,332.625,Dorsal_body
205.5,332.625,Dorsal_body
232.875,332.25,Dorsal_body
261,331.5,Dorsal_body
291,329.25,Dorsal_body
315,328.125,Dorsal_body
343.125,327.375,Dorsal_body
363.75,326.25,Dorsal_body
380.25,324.375,Dorsal_body
399.75,321.375,Dorsal_body
421.125,318.375,Dorsal_body
442.875,314.625,Dorsal_body
462.75,310.875,Dorsal_body
477,307.125,Dorsal_body
495.75,301.125,Dorsal_body
507.75,297.375,Dorsal_body
350.625,307.625,Lateral_bladder
348.5,305.875,Lateral_bladder
344.375,305.625,Lateral_bladder
340.875,306.625,Lateral_bladder
339.25,306.75,Lateral_bladder
336.375,305.625,Lateral_bladder
334,306,Lateral_bladder
329.75,306.625,Lateral_bladder
327.5,306.25,Lateral_bladder
323.75,306,Lateral_bladder
321.625,306.375,Lateral_bladder
321,307,Lateral_bladder
317.25,307,Lateral_bladder
307.875,306,Lateral_bladder
302.375,305.25,Lateral_bladder
297.25,304.75,Lateral_bladder
290.375,304.125,Lateral_bladder
280.25,302.75,Lateral_bladder
270.625,301.875,Lateral_bladder
260.75,300.5,Lateral_bladder
251.125,299.375,Lateral_bladder
242.5,298,Lateral_bladder
233.125,296.5,Lateral_bladder
224.125,294.875,Lateral_bladder
216.5,294.25,Lateral_bladder
