BX,BY,asp1
347.25,299,Dorsal_bladder
340.5,297.5,Dorsal_bladder
330.75,296.375,Dorsal_bladder
324.5,294.375,Dorsal_bladder
320,293,Dorsal_bladder
314.75,291.25,Dorsal_bladder
307.5,290.25,Dorsal_bladder
300.125,289.25,Dorsal_bladder
293.25,288.75,Dorsal_bladder
286.25,287.5,Dorsal_bladder
280.5,287.25,Dorsal_bladder
275.25,287.25,Dorsal_bladder
268.625,287.5,Dorsal_bladder
261.75,289,Dorsal_bladder
254.75,290.5,Dorsal_bladder
249.5,291.375,Dorsal_bladder
243.5,292.75,Dorsal_bladder
237.5,292.875,Dorsal_bladder
230.5,292.875,Dorsal_bladder
223.5,293,Dorsal_bladder
217.5,293.25,Dorsal_bladder
210.75,293.25,Dorsal_bladder
205.25,293.5,Dorsal_bladder
199.5,294.25,Dorsal_bladder
193.125,294.75,Dorsal_bladder
187.25,295.25,Dorsal_bladder
181.625,296.75,Dorsal_bladder
176.25,297.375,Dorsal_bladder
172,297.5,Dorsal_bladder
167.75,298.875,Dorsal_bladder
165.25,301.5,Dorsal_bladder
164.25,304.5,Dorsal_bladder
166.75,308,Dorsal_bladder
172.75,311,Dorsal_bladder
181,311.75,Dorsal_bladder
190,311.5,Dorsal_bladder
200.125,312.25,Dorsal_bladder
209.125,312.375,Dorsal_bladder
213.625,311.875,Dorsal_bladder
221.125,312,Dorsal_bladder
228,312.375,Dorsal_bladder
232.625,312.375,Dorsal_bladder
238.125,312.5,Dorsal_bladder
245.125,312.75,Dorsal_bladder
252.625,311.875,Dorsal_bladder
260,311.25,Dorsal_bladder
268.5,310.375,Dorsal_bladder
276.5,309.5,Dorsal_bladder
284,308.75,Dorsal_bladder
290.625,307.875,Dorsal_bladder
298.25,306.875,Dorsal_bladder
304.25,306.25,Dorsal_bladder
307.75,305.25,Dorsal_bladder
314.75,304.875,Dorsal_bladder
321.125,303.375,Dorsal_bladder
326.5,302.25,Dorsal_bladder
331.5,301.875,Dorsal_bladder
336,301.25,Dorsal_bladder
340.25,300.375,Dorsal_bladder
343.25,300,Dorsal_bladder
470.75,300.375,Dorsal_body
469.625,299,Dorsal_body
468,298.125,Dorsal_body
463.75,297.875,Dorsal_body
459.5,297.875,Dorsal_body
452.25,298,Dorsal_body
447.625,297.375,Dorsal_body
444.625,297,Dorsal_body
439.375,296.25,Dorsal_body
431.75,294.75,Dorsal_body
424.75,293.5,Dorsal_body
420.125,292.5,Dorsal_body
415.875,291.75,Dorsal_body
410.625,290.875,Dorsal_body
406,289.75,Dorsal_body
399.875,288.5,Dorsal_body
395.625,287.75,Dorsal_body
388,286,Dorsal_body
379.125,284.125,Dorsal_body
370.625,282.5,Dorsal_body
367,282,Dorsal_body
362.25,281.375,Dorsal_body
354.75,280,Dorsal_body
345.375,278.5,Dorsal_body
335.5,277,Dorsal_body
323.125,275.25,Dorsal_body
312.125,273.75,Dorsal_body
304.875,273.125,Dorsal_body
297.625,272.125,Dorsal_body
289.625,271,Dorsal_body
279.375,270,Dorsal_body
271.875,269,Dorsal_body
263.5,268.25,Dorsal_body
255.625,267.75,Dorsal_body
251,267.625,Dorsal_body
243.375,267.625,Dorsal_body
236.875,267.5,Dorsal_body
232.125,267.75,Dorsal_body
228.375,267.75,Dorsal_body
225,268.125,Dorsal_body
220.875,268.375,Dorsal_body
218.375,268.5,Dorsal_body
214.875,268.875,Dorsal_body
212.25,269,Dorsal_body
209.125,269.5,Dorsal_body
206.25,269.625,Dorsal_body
200.25,270.5,Dorsal_body
193.5,271.5,Dorsal_body
185.75,272.5,Dorsal_body
182.5,274.25,Dorsal_body
177.5,274.875,Dorsal_body
171.625,276,Dorsal_body
170.125,273.625,Dorsal_body
168,273.875,Dorsal_body
163.625,274.875,Dorsal_body
158.875,276.5,Dorsal_body
152.875,278,Dorsal_body
148.5,279,Dorsal_body
145.375,279.75,Dorsal_body
140.625,280.5,Dorsal_body
