BX,BY,asp1
319.625,323.5,Dorsal_bladder
318.375,322.25,Dorsal_bladder
315.75,321.125,Dorsal_bladder
313.125,320.25,Dorsal_bladder
309.375,319.5,Dorsal_bladder
307.125,319.125,Dorsal_bladder
304.375,318.25,Dorsal_bladder
300.375,317.5,Dorsal_bladder
297.125,317.5,Dorsal_bladder
294.625,316.75,Dorsal_bladder
291.375,316.125,Dorsal_bladder
289.125,316.375,Dorsal_bladder
286.625,316.125,Dorsal_bladder
283.625,315.75,Dorsal_bladder
280.375,315.25,Dorsal_bladder
276.875,315,Dorsal_bladder
272.125,314.125,Dorsal_bladder
268.625,313.75,Dorsal_bladder
265.375,313.375,Dorsal_bladder
261.625,313.5,Dorsal_bladder
258.5,313.375,Dorsal_bladder
254.875,313.5,Dorsal_bladder
252,313.75,Dorsal_bladder
248.875,313.75,Dorsal_bladder
245.875,313.75,Dorsal_bladder
243.5,313.75,Dorsal_bladder
238.75,313.75,Dorsal_bladder
235.5,314.375,Dorsal_bladder
232.75,314.375,Dorsal_bladder
228,314.5,Dorsal_bladder
225.5,314.625,Dorsal_bladder
222.5,314.875,Dorsal_bladder
220,314.875,Dorsal_bladder
217.5,315,Dorsal_bladder
215.5,314.75,Dorsal_bladder
212.5,314.75,Dorsal_bladder
210.5,315,Dorsal_bladder
208,315.125,Dorsal_bladder
205,315,Dorsal_bladder
200.25,314.875,Dorsal_bladder
198,314.875,Dorsal_bladder
195,314.75,Dorsal_bladder
193.125,315,Dorsal_bladder
190,315,Dorsal_bladder
187.875,315.5,Dorsal_bladder
185.25,315.75,Dorsal_bladder
182,315.375,Dorsal_bladder
178.875,315.5,Dorsal_bladder
176.375,315.375,Dorsal_bladder
173.125,315.125,Dorsal_bladder
170,315.25,Dorsal_bladder
168.25,315,Dorsal_bladder
165.75,315,Dorsal_bladder
163.25,314.625,Dorsal_bladder
161.125,314.875,Dorsal_bladder
159.75,315.25,Dorsal_bladder
158.375,316.75,Dorsal_bladder
158.125,318.375,Dorsal_bladder
158.25,320.25,Dorsal_bladder
158.75,322.625,Dorsal_bladder
159.75,325.5,Dorsal_bladder
161.25,328,Dorsal_bladder
163.75,329.25,Dorsal_bladder
169.25,331,Dorsal_bladder
174.75,330.75,Dorsal_bladder
178,330.5,Dorsal_bladder
181.5,331,Dorsal_bladder
183.625,331,Dorsal_bladder
186.125,331.75,Dorsal_bladder
190.25,332.5,Dorsal_bladder
193.375,332.5,Dorsal_bladder
196.75,332.25,Dorsal_bladder
199.75,332.125,Dorsal_bladder
202.875,332,Dorsal_bladder
205.375,332.375,Dorsal_bladder
208.75,332.75,Dorsal_bladder
212.125,333.125,Dorsal_bladder
215.625,333.5,Dorsal_bladder
219,333.5,Dorsal_bladder
223.75,333.875,Dorsal_bladder
229,333.875,Dorsal_bladder
234,334.25,Dorsal_bladder
239,333.875,Dorsal_bladder
