BX,BY,asp1
334.5,329.125,Dorsal_bladder
331.875,327.375,Dorsal_bladder
328.875,327,Dorsal_bladder
324.375,325.75,Dorsal_bladder
320.125,324.375,Dorsal_bladder
316.375,324,Dorsal_bladder
312.625,322.5,Dorsal_bladder
311,322,Dorsal_bladder
309.375,320.75,Dorsal_bladder
307.25,319.875,Dorsal_bladder
306.625,319.125,Dorsal_bladder
305,319.125,Dorsal_bladder
303.125,319.875,Dorsal_bladder
302,319.875,Dorsal_bladder
300.125,318.25,Dorsal_bladder
298.625,317.375,Dorsal_bladder
297.75,316.625,Dorsal_bladder
294.375,316,Dorsal_bladder
292.5,315.875,Dorsal_bladder
291,315.5,Dorsal_bladder
288.625,314.875,Dorsal_bladder
286.75,314.5,Dorsal_bladder
285,314.25,Dorsal_bladder
282.25,314.125,Dorsal_bladder
280.375,314,Dorsal_bladder
278.125,314,Dorsal_bladder
275.875,313.875,Dorsal_bladder
272,313.375,Dorsal_bladder
268.875,313.125,Dorsal_bladder
265.375,312.375,Dorsal_bladder
262.625,311.875,Dorsal_bladder
259,311.25,Dorsal_bladder
256.625,310.875,Dorsal_bladder
254,310.375,Dorsal_bladder
251,310.375,Dorsal_bladder
248.625,310.375,Dorsal_bladder
245.125,310.375,Dorsal_bladder
240.875,310.625,Dorsal_bladder
238.625,311,Dorsal_bladder
234.625,311.125,Dorsal_bladder
232.25,311.625,Dorsal_bladder
229.5,312,Dorsal_bladder
226.625,312,Dorsal_bladder
224.125,312.125,Dorsal_bladder
220.625,312.125,Dorsal_bladder
217.875,312.5,Dorsal_bladder
214.5,312.625,Dorsal_bladder
211.125,312.125,Dorsal_bladder
208.625,312.5,Dorsal_bladder
206.625,313,Dorsal_bladder
203.75,312.875,Dorsal_bladder
200.5,313.5,Dorsal_bladder
196.125,314.125,Dorsal_bladder
193,314.75,Dorsal_bladder
190.375,315.375,Dorsal_bladder
187,316.375,Dorsal_bladder
183.75,317.125,Dorsal_bladder
181,317.625,Dorsal_bladder
179.5,318,Dorsal_bladder
176,318.75,Dorsal_bladder
174.875,319.5,Dorsal_bladder
173.75,320.75,Dorsal_bladder
170.5,322.375,Dorsal_bladder
169.625,324.75,Dorsal_bladder
169.375,327.75,Dorsal_bladder
169.625,331,Dorsal_bladder
170,333.375,Dorsal_bladder
175.875,335.25,Dorsal_bladder
180.375,335.375,Dorsal_bladder
182.75,335.75,Dorsal_bladder
189.125,336.5,Dorsal_bladder
193.5,336.375,Dorsal_bladder
198,335.875,Dorsal_bladder
200.875,336.25,Dorsal_bladder
205.375,335.875,Dorsal_bladder
208.625,335.75,Dorsal_bladder
211.125,335.625,Dorsal_bladder
214.375,335.375,Dorsal_bladder
218.375,335.25,Dorsal_bladder
221.625,335.125,Dorsal_bladder
225.25,334.75,Dorsal_bladder
227.625,334.5,Dorsal_bladder
232.125,334.375,Dorsal_bladder
233.75,333.875,Dorsal_bladder
235.625,333.125,Dorsal_bladder
235.75,332.875,Dorsal_bladder
237,333.75,Dorsal_bladder
238.5,334.25,Dorsal_bladder
242.25,334.25,Dorsal_bladder
244.75,334.25,Dorsal_bladder
248.625,335.375,Dorsal_bladder
251.25,336,Dorsal_bladder
253.75,337,Dorsal_bladder
257.25,337.75,Dorsal_bladder
261.375,338.75,Dorsal_bladder
265,339.625,Dorsal_bladder
269.25,340.75,Dorsal_bladder
273.5,341.625,Dorsal_bladder
278.875,341.625,Dorsal_bladder
284.125,341.625,Dorsal_bladder
288,341.25,Dorsal_bladder
292.125,340.625,Dorsal_bladder
294,339.875,Dorsal_bladder
296.875,338.75,Dorsal_bladder
300.25,337.625,Dorsal_bladder
303.625,336.5,Dorsal_bladder
306.125,335.5,Dorsal_bladder
309.125,334.875,Dorsal_bladder
310.625,334.375,Dorsal_bladder
313.25,333.25,Dorsal_bladder
315.625,332.75,Dorsal_bladder
319.5,332.125,Dorsal_bladder
323.5,332.25,Dorsal_bladder
327.875,331.875,Dorsal_bladder
331.125,331.625,Dorsal_bladder
469.625,329.5,Dorsal_body
468.375,328.25,Dorsal_body
466.25,327.75,Dorsal_body
463.125,327.125,Dorsal_body
460.625,326.25,Dorsal_body
454.375,326.25,Dorsal_body
446.625,325.875,Dorsal_body
444.625,325.875,Dorsal_body
440.5,325.375,Dorsal_body
436.875,325.125,Dorsal_body
433.5,324.5,Dorsal_body
429.625,323.875,Dorsal_body
425,323,Dorsal_body
420.25,322.375,Dorsal_body
416.75,322,Dorsal_body
412.375,321.25,Dorsal_body
408.125,320.5,Dorsal_body
403.125,319.75,Dorsal_body
397.875,318.75,Dorsal_body
394.625,318.375,Dorsal_body
392.125,317.75,Dorsal_body
387.375,317.125,Dorsal_body
383.25,316.125,Dorsal_body
378.625,315.25,Dorsal_body
372.125,314.125,Dorsal_body
370.125,313.75,Dorsal_body
366.375,313.375,Dorsal_body
365,313.375,Dorsal_body
362.75,312.5,Dorsal_body
358.375,311.875,Dorsal_body
354,311,Dorsal_body
349.625,310.125,Dorsal_body
343.5,309.375,Dorsal_body
338.125,308.375,Dorsal_body
333.25,307.625,Dorsal_body
325.625,306.375,Dorsal_body
319.5,305.375,Dorsal_body
314.75,304.5,Dorsal_body
309.25,303.75,Dorsal_body
302.625,302.5,Dorsal_body
298.125,301.875,Dorsal_body
294.375,301,Dorsal_body
287,299.375,Dorsal_body
282.5,298,Dorsal_body
278.125,297.25,Dorsal_body
272.75,296.125,Dorsal_body
267.625,295.25,Dorsal_body
264.375,294.625,Dorsal_body
259.875,294.125,Dorsal_body
253.625,293.25,Dorsal_body
250,293,Dorsal_body
245.125,292.625,Dorsal_body
