BX,BY,asp1
313.875,310.5,Dorsal_bladder
309,309.5,Dorsal_bladder
303.375,308.625,Dorsal_bladder
299.75,307.5,Dorsal_bladder
294.75,306.125,Dorsal_bladder
291.75,304.75,Dorsal_bladder
287,304.125,Dorsal_bladder
285.875,303.375,Dorsal_bladder
283.625,302.875,Dorsal_bladder
280.75,302.75,Dorsal_bladder
279.375,302.75,Dorsal_bladder
277,301.875,Dorsal_bladder
272.75,300.875,Dorsal_bladder
269.125,300.75,Dorsal_bladder
263.875,300.625,Dorsal_bladder
259.625,300,Dorsal_bladder
257.375,299.75,Dorsal_bladder
255.125,299.25,Dorsal_bladder
252.125,298.625,Dorsal_bladder
247.25,297.625,Dorsal_bladder
244,297.5,Dorsal_bladder
237.25,297.5,Dorsal_bladder
233.125,297.25,Dorsal_bladder
228.625,297.25,Dorsal_bladder
225.125,297.5,Dorsal_bladder
220.75,297.25,Dorsal_bladder
217,297.5,Dorsal_bladder
214.625,297.375,Dorsal_bladder
212,297.375,Dorsal_bladder
209.125,297,Dorsal_bladder
206,297.125,Dorsal_bladder
200.125,296.875,Dorsal_bladder
196.875,296.625,Dorsal_bladder
194.5,297,Dorsal_bladder
191.25,297,Dorsal_bladder
187.375,297.5,Dorsal_bladder
184.125,298.375,Dorsal_bladder
178.375,299,Dorsal_bladder
174.625,299.5,Dorsal_bladder
169.25,300,Dorsal_bladder
165,300,Dorsal_bladder
162.125,301.125,Dorsal_bladder
159.875,301.875,Dorsal_bladder
159.25,303.5,Dorsal_bladder
156.625,303.125,Dorsal_bladder
153.625,303.125,Dorsal_bladder
150.625,303.125,Dorsal_bladder
149.75,305.625,Dorsal_bladder
149.75,308.75,Dorsal_bladder
150.125,312,Dorsal_bladder
150.25,314.125,Dorsal_bladder
151.5,315.75,Dorsal_bladder
153,316.875,Dorsal_bladder
157.375,316.75,Dorsal_bladder
160.375,316.75,Dorsal_bladder
165.875,317.25,Dorsal_bladder
170,317.5,Dorsal_bladder
173.875,317.875,Dorsal_bladder
178.5,318.625,Dorsal_bladder
182.375,319.125,Dorsal_bladder
187.625,319.125,Dorsal_bladder
190.75,318.875,Dorsal_bladder
195,318.875,Dorsal_bladder
198.625,318.875,Dorsal_bladder
203.25,318.75,Dorsal_bladder
207.125,318.5,Dorsal_bladder
209.875,318.75,Dorsal_bladder
214.5,318.125,Dorsal_bladder
217.5,318.5,Dorsal_bladder
220.75,318.875,Dorsal_bladder
224,318.875,Dorsal_bladder
226.25,318.625,Dorsal_bladder
229.25,319.75,Dorsal_bladder
232.75,320,Dorsal_bladder
237.875,320.75,Dorsal_bladder
243.25,321.25,Dorsal_bladder
247.25,321.5,Dorsal_bladder
250.625,321.75,Dorsal_bladder
254.375,321.625,Dorsal_bladder
258.75,321.5,Dorsal_bladder
262.875,321.25,Dorsal_bladder
266.625,320.5,Dorsal_bladder
270.125,320,Dorsal_bladder
274.125,319.125,Dorsal_bladder
275.75,318.875,Dorsal_bladder
279,318.75,Dorsal_bladder
281.5,318.25,Dorsal_bladder
283.75,317.875,Dorsal_bladder
286.75,317.125,Dorsal_bladder
289.125,316.75,Dorsal_bladder
291.375,315.375,Dorsal_bladder
294.375,315,Dorsal_bladder
297.5,314.5,Dorsal_bladder
300.25,313.75,Dorsal_bladder
303.875,313.5,Dorsal_bladder
305.875,312.75,Dorsal_bladder
308.625,312.375,Dorsal_bladder
312.125,312.375,Dorsal_bladder
447.75,329.625,Dorsal_body
445.625,327.875,Dorsal_body
442.875,326.125,Dorsal_body
440.25,324.375,Dorsal_body
436.375,322.625,Dorsal_body
433.125,321.125,Dorsal_body
431.75,320.25,Dorsal_body
430.25,319.5,Dorsal_body
428.625,318.5,Dorsal_body
426.875,317.625,Dorsal_body
425,316.875,Dorsal_body
422.375,316,Dorsal_body
420.375,315.25,Dorsal_body
417.75,314,Dorsal_body
414.75,313.125,Dorsal_body
411,311.5,Dorsal_body
408.5,310.625,Dorsal_body
406.5,309.875,Dorsal_body
405,309.375,Dorsal_body
403.875,309,Dorsal_body
401.25,308.375,Dorsal_body
399.5,307.75,Dorsal_body
397.125,307.125,Dorsal_body
393.5,306,Dorsal_body
390.125,305.125,Dorsal_body
386.625,304.25,Dorsal_body
383.25,303.5,Dorsal_body
380.5,302.625,Dorsal_body
377.875,302,Dorsal_body
375.875,301.375,Dorsal_body
372.375,300.75,Dorsal_body
369.625,300.25,Dorsal_body
365.75,299.5,Dorsal_body
362,298.5,Dorsal_body
358.125,297.5,Dorsal_body
353.125,296.875,Dorsal_body
349.625,296.125,Dorsal_body
345.875,295.375,Dorsal_body
342.875,294.75,Dorsal_body
338.875,294.25,Dorsal_body
336.375,293.875,Dorsal_body
333.125,292.75,Dorsal_body
327.875,292.25,Dorsal_body
324.25,291.625,Dorsal_body
320.75,291.125,Dorsal_body
315.375,290,Dorsal_body
310.75,289.375,Dorsal_body
306.375,288.625,Dorsal_body
300.625,287.75,Dorsal_body
295.25,286.75,Dorsal_body
291,286.5,Dorsal_body
288,285.625,Dorsal_body
285.375,285.5,Dorsal_body
281.5,285.125,Dorsal_body
277.125,284.5,Dorsal_body
273.125,283.75,Dorsal_body
271.25,283.5,Dorsal_body
267.5,282.75,Dorsal_body
262.625,282.125,Dorsal_body
258.375,281.5,Dorsal_body
252.375,280.375,Dorsal_body
249.25,280,Dorsal_body
245.875,279.375,Dorsal_body
243.625,279,Dorsal_body
239.625,278.75,Dorsal_body
235.375,278.125,Dorsal_body
231.5,277.875,Dorsal_body
226.875,277.625,Dorsal_body
