BX,BY,asp1
339.125,297.5,Dorsal_bladder
333.125,296.625,Dorsal_bladder
325.5,295.5,Dorsal_bladder
318.625,294.25,Dorsal_bladder
313.75,293.375,Dorsal_bladder
308.375,292.625,Dorsal_bladder
303,291.875,Dorsal_bladder
295.75,291.375,Dorsal_bladder
292.875,290.875,Dorsal_bladder
288.125,290.625,Dorsal_bladder
283.5,290.375,Dorsal_bladder
279.5,289.875,Dorsal_bladder
273.125,289.125,Dorsal_bladder
264.875,287.875,Dorsal_bladder
260.875,287.375,Dorsal_bladder
256.75,286.875,Dorsal_bladder
250.125,286.25,Dorsal_bladder
245.25,285.875,Dorsal_bladder
240.75,285.25,Dorsal_bladder
236.25,284.875,Dorsal_bladder
231.25,284.5,Dorsal_bladder
228.5,284.375,Dorsal_bladder
222.375,284.125,Dorsal_bladder
215.375,284.125,Dorsal_bladder
209.25,284.25,Dorsal_bladder
203.125,284.875,Dorsal_bladder
197.375,285.75,Dorsal_bladder
192.625,286,Dorsal_bladder
190.25,286,Dorsal_bladder
186.125,286,Dorsal_bladder
180.875,286.5,Dorsal_bladder
176.375,286.5,Dorsal_bladder
173.25,287.125,Dorsal_bladder
170.5,287.75,Dorsal_bladder
167.25,286.625,Dorsal_bladder
162.5,290,Dorsal_bladder
159.5,293.75,Dorsal_bladder
159.125,296.875,Dorsal_bladder
160.75,301.125,Dorsal_bladder
166.625,304.5,Dorsal_bladder
170.875,305.625,Dorsal_bladder
175.125,306.25,Dorsal_bladder
179.5,307.875,Dorsal_bladder
187.5,308.75,Dorsal_bladder
196,309.25,Dorsal_bladder
202.125,309.125,Dorsal_bladder
208.25,309,Dorsal_bladder
214.125,309.125,Dorsal_bladder
220.875,308.875,Dorsal_bladder
227.75,308.875,Dorsal_bladder
234.875,309.375,Dorsal_bladder
241.75,309.875,Dorsal_bladder
249.75,311.625,Dorsal_bladder
258,313,Dorsal_bladder
267.25,314,Dorsal_bladder
275.75,313.625,Dorsal_bladder
282.625,312.875,Dorsal_bladder
290.125,310.875,Dorsal_bladder
297.125,309.125,Dorsal_bladder
304.25,307.5,Dorsal_bladder
311.375,305.75,Dorsal_bladder
317.75,305.125,Dorsal_bladder
325.125,303.75,Dorsal_bladder
333.25,302.625,Dorsal_bladder
337.75,301.625,Dorsal_bladder
338.875,300,Dorsal_bladder
483.25,300.25,Dorsal_body
474,297,Dorsal_body
466.75,294.25,Dorsal_body
458.75,291.75,Dorsal_body
452.75,290,Dorsal_body
446.75,288.5,Dorsal_body
438,287.25,Dorsal_body
430.25,286.25,Dorsal_body
425.5,285.75,Dorsal_body
419.5,284.75,Dorsal_body
411,284.25,Dorsal_body
400.5,282.75,Dorsal_body
393.25,282.25,Dorsal_body
385.25,280.75,Dorsal_body
378.75,280,Dorsal_body
373.5,279.5,Dorsal_body
367.5,279,Dorsal_body
357.75,278.25,Dorsal_body
351,278,Dorsal_body
343.75,277,Dorsal_body
336,276.5,Dorsal_body
326.25,275.5,Dorsal_body
315.25,274,Dorsal_body
308,273,Dorsal_body
300,271.5,Dorsal_body
292,269,Dorsal_body
283,267,Dorsal_body
275.5,265,Dorsal_body
267.75,263.5,Dorsal_body
260.25,262.5,Dorsal_body
252.5,261,Dorsal_body
244.5,260.25,Dorsal_body
234.25,260,Dorsal_body
222.5,260,Dorsal_body
214.25,260.25,Dorsal_body
203,261.5,Dorsal_body
194.25,262.5,Dorsal_body
184,263,Dorsal_body
174,264.5,Dorsal_body
167,264,Dorsal_body
154.75,266.5,Dorsal_body
142.25,267.75,Dorsal_body
131.5,269.25,Dorsal_body
124.5,269.75,Dorsal_body
119.75,269.5,Dorsal_body
114.75,269.5,Dorsal_body
111,270.75,Dorsal_body
107,274,Dorsal_body
100.25,276.5,Dorsal_body
90.75,280.25,Dorsal_body
84.75,282.75,Dorsal_body
78,288.5,Dorsal_body
76.5,291.75,Dorsal_body
81,300.75,Dorsal_body
89.5,307,Dorsal_body
96.75,310.75,Dorsal_body
104,313.75,Dorsal_body
111.5,317.75,Dorsal_body
117.25,319.75,Dorsal_body
125.5,320.5,Dorsal_body
135.75,323.5,Dorsal_body
144.25,324.25,Dorsal_body
153,327.25,Dorsal_body
162.25,330.75,Dorsal_body
169,332.25,Dorsal_body
187.25,334.25,Dorsal_body
205.75,337.5,Dorsal_body
218,338.25,Dorsal_body
228,338.5,Dorsal_body
238.5,338.75,Dorsal_body
249.5,338,Dorsal_body
262,336.5,Dorsal_body
273,334.75,Dorsal_body
283.75,332.75,Dorsal_body
292.5,330.75,Dorsal_body
304,327.5,Dorsal_body
312,324.5,Dorsal_body
318.75,322.25,Dorsal_body
323.25,321,Dorsal_body
333,320,Dorsal_body
347,317.75,Dorsal_body
361.25,316.25,Dorsal_body
373,314.25,Dorsal_body
383.5,313,Dorsal_body
400,311,Dorsal_body
409.5,309.75,Dorsal_body
421.5,307.75,Dorsal_body
432.5,306.25,Dorsal_body
443.5,305.25,Dorsal_body
452.75,304,Dorsal_body
464,303,Dorsal_body
469.75,303,Dorsal_body
475.5,303,Dorsal_body
481.75,302.5,Dorsal_body
353.625,301,Lateral_bladder
352.5,300.125,Lateral_bladder
351,300.125,Lateral_bladder
349.25,299.25,Lateral_bladder
348.5,299,Lateral_bladder
347.875,299,Lateral_bladder
346.375,299,Lateral_bladder
343.75,298,Lateral_bladder
341.875,297.25,Lateral_bladder
339.875,297,Lateral_bladder
337.125,296.5,Lateral_bladder
334.375,296.125,Lateral_bladder
331.125,295.375,Lateral_bladder
328.125,294.75,Lateral_bladder
324.75,293.25,Lateral_bladder
320.875,292,Lateral_bladder
315.625,290.625,Lateral_bladder
312.875,290.125,Lateral_bladder
310.125,289.125,Lateral_bladder
307.25,288.25,Lateral_bladder
305,287.625,Lateral_bladder
302.25,286.875,Lateral_bladder
299.375,286,Lateral_bladder
297.75,285.5,Lateral_bladder
295.25,284.75,Lateral_bladder
291.625,283.625,Lateral_bladder
290.125,283.125,Lateral_bladder
287.75,282.25,Lateral_bladder
284.25,281.25,Lateral_bladder
282.5,280.875,Lateral_bladder
278.625,280,Lateral_bladder
275.375,279.125,Lateral_bladder
273.625,278.375,Lateral_bladder
268.75,277.25,Lateral_bladder
264.375,276.75,Lateral_bladder
259.5,275.75,Lateral_bladder
254.5,274.875,Lateral_bladder
252.125,274.5,Lateral_bladder
246.875,274.125,Lateral_bladder
244.25,273.75,Lateral_bladder
239.25,273.5,Lateral_bladder
234.375,273.25,Lateral_bladder
230.25,273.25,Lateral_bladder
225.25,273.375,Lateral_bladder
221.5,273.5,Lateral_bladder
216,274,Lateral_bladder
211.875,274.25,Lateral_bladder
206.125,274.75,Lateral_bladder
203.125,274.75,Lateral_bladder
199.375,274.75,Lateral_bladder
194.25,275.5,Lateral_bladder
190.625,276.125,Lateral_bladder
186.25,276.875,Lateral_bladder
183.875,277.625,Lateral_bladder
181.875,278.875,Lateral_bladder
179.625,280.5,Lateral_bladder
177.25,281.5,Lateral_bladder
176.125,282.25,Lateral_bladder
175.5,282.75,Lateral_bladder
177.375,284.25,Lateral_bladder
180.25,285.875,Lateral_bladder
182.875,287.25,Lateral_bladder
186.125,288.125,Lateral_bladder
190.625,289,Lateral_bladder
195.625,290.125,Lateral_bladder
199.125,291.125,Lateral_bladder
201.875,291.875,Lateral_bladder
209.375,291.75,Lateral_bladder
215.875,291.25,Lateral_bladder
222.875,291.625,Lateral_bladder
227.625,291.875,Lateral_bladder
231.25,292.25,Lateral_bladder
234.5,292,Lateral_bladder
237.25,291.625,Lateral_bladder
238.875,291.125,Lateral_bladder
242.125,291.125,Lateral_bladder
244.625,291.375,Lateral_bladder
249.5,291.875,Lateral_bladder
254.125,292.375,Lateral_bladder
260,293.5,Lateral_bladder
266,295.375,Lateral_bladder
270.5,297,Lateral_bladder
274.375,298.25,Lateral_bladder
278.875,300,Lateral_bladder
280.625,300.5,Lateral_bladder
282.875,299.25,Lateral_bladder
285.125,298.75,Lateral_bladder
287,299.5,Lateral_bladder
290.25,300,Lateral_bladder
293.25,300.375,Lateral_bladder
297.625,301.5,Lateral_bladder
301.375,302.625,Lateral_bladder
303.5,302,Lateral_bladder
306.25,301.5,Lateral_bladder
308.25,301,Lateral_bladder
311.875,301.5,Lateral_bladder
314.5,302.375,Lateral_bladder
317.5,303.125,Lateral_bladder
320,303,Lateral_bladder
323.25,302.75,Lateral_bladder
326,302.625,Lateral_bladder
328.125,303.5,Lateral_bladder
331.375,304.375,Lateral_bladder
333.375,303.75,Lateral_bladder
335.625,303.25,Lateral_bladder
337.625,303.875,Lateral_bladder
339.875,303.625,Lateral_bladder
341.75,302.625,Lateral_bladder
344.625,302.625,Lateral_bladder
347,302.375,Lateral_bladder
348.875,302.375,Lateral_bladder
351.875,302.875,Lateral_bladder
353.625,302.5,Lateral_bladder
486.125,302.5,Lateral_body
483.125,299.25,Lateral_body
477.875,296.75,Lateral_body
473.375,294.75,Lateral_body
469.375,293.75,Lateral_body
464.125,293.25,Lateral_body
456.375,293.75,Lateral_body
452.375,294.5,Lateral_body
448.625,294.75,Lateral_body
444.375,295,Lateral_body
440.375,295,Lateral_body
437.875,294.75,Lateral_body
433.875,294.25,Lateral_body
431.25,293.5,Lateral_body
427.25,292.25,Lateral_body
423.125,290.875,Lateral_body
420.875,289.75,Lateral_body
418.625,288.625,Lateral_body
415.625,287.375,Lateral_body
413,286.5,Lateral_body
410.125,285.25,Lateral_body
407.75,284.125,Lateral_body
404.5,282.625,Lateral_body
401.625,281.5,Lateral_body
399.125,280.625,Lateral_body
395.875,279.125,Lateral_body
392.75,277.875,Lateral_body
390.375,277,Lateral_body
388.375,276,Lateral_body
385.875,275,Lateral_body
384.375,273.875,Lateral_body
382.5,272.625,Lateral_body
380.875,272,Lateral_body
378.375,271.625,Lateral_body
377.125,271.875,Lateral_body
375.875,270.875,Lateral_body
373,270.125,Lateral_body
370.5,269,Lateral_body
366.125,267.375,Lateral_body
362.25,265.75,Lateral_body
358.75,264.5,Lateral_body
355.375,263.125,Lateral_body
351.5,261.875,Lateral_body
347.875,260.375,Lateral_body
344.125,258.875,Lateral_body
339.375,257.125,Lateral_body
334.875,255.75,Lateral_body
329.375,254.125,Lateral_body
324.25,252.375,Lateral_body
320.375,251.125,Lateral_body
315.75,249.5,Lateral_body
309.875,248.375,Lateral_body
305,246.5,Lateral_body
299.875,245.5,Lateral_body
295.125,244.125,Lateral_body
289.75,243,Lateral_body
284.875,242,Lateral_body
280.5,241.125,Lateral_body
277.125,240.375,Lateral_body
274.5,238.875,Lateral_body
271.25,238.625,Lateral_body
267.375,238.5,Lateral_body
261,238.5,Lateral_body
257,238.375,Lateral_body
254,238.75,Lateral_body
250.25,238.5,Lateral_body
246.875,238.375,Lateral_body
243,238.375,Lateral_body
237.875,238.375,Lateral_body
234.25,238.375,Lateral_body
229.75,238.375,Lateral_body
224.75,238.375,Lateral_body
220.5,238.75,Lateral_body
216.25,238.875,Lateral_body
212.5,239.125,Lateral_body
210.5,239.125,Lateral_body
206.5,239.875,Lateral_body
203.5,240.625,Lateral_body
199.75,241.25,Lateral_body
195.125,242.125,Lateral_body
191,243,Lateral_body
188.25,243.75,Lateral_body
183.75,244.875,Lateral_body
179,246.5,Lateral_body
176.625,247.375,Lateral_body
174.625,247.625,Lateral_body
172,248.625,Lateral_body
169.75,249.625,Lateral_body
165.875,251.25,Lateral_body
164,252.25,Lateral_body
160.75,253.625,Lateral_body
157,255.375,Lateral_body
151.375,257.875,Lateral_body
146.5,260.5,Lateral_body
141.875,263,Lateral_body
136.875,265.75,Lateral_body
131.625,268.5,Lateral_body
126.375,271.125,Lateral_body
123.625,272.625,Lateral_body
121.625,273.625,Lateral_body
118.375,275.5,Lateral_body
115.875,277,Lateral_body
114.25,277.875,Lateral_body
111.5,279.5,Lateral_body
106.875,282.125,Lateral_body
102.75,284.5,Lateral_body
98.375,287.375,Lateral_body
94.625,289.5,Lateral_body
90.75,291.75,Lateral_body
87,294.875,Lateral_body
84.375,297,Lateral_body
81.75,298.75,Lateral_body
79.875,302.125,Lateral_body
77.75,310,Lateral_body
77.625,312.375,Lateral_body
78.75,315.25,Lateral_body
82.875,317.5,Lateral_body
86.75,319.5,Lateral_body
