BX,BY,asp1
331.5,311.125,Dorsal_bladder
326.75,310.5,Dorsal_bladder
320.75,310.25,Dorsal_bladder
315.5,309.625,Dorsal_bladder
312.25,308.625,Dorsal_bladder
309.625,307.5,Dorsal_bladder
303.875,306.375,Dorsal_bladder
300.25,305.5,Dorsal_bladder
295.875,304.625,Dorsal_bladder
290.5,303.75,Dorsal_bladder
282.625,303,Dorsal_bladder
278.5,302,Dorsal_bladder
274.375,301.25,Dorsal_bladder
272.5,300.5,Dorsal_bladder
270.625,300.25,Dorsal_bladder
267.5,299.75,Dorsal_bladder
263.75,299.25,Dorsal_bladder
261.75,299.125,Dorsal_bladder
259.125,299.125,Dorsal_bladder
253.875,299.25,Dorsal_bladder
252,299.5,Dorsal_bladder
247.625,299.625,Dorsal_bladder
244.625,299.875,Dorsal_bladder
242.125,299.875,Dorsal_bladder
239.375,300.125,Dorsal_bladder
236.75,300.25,Dorsal_bladder
234.875,300.5,Dorsal_bladder
231,300.75,Dorsal_bladder
229,300.75,Dorsal_bladder
227.125,300.875,Dorsal_bladder
224.75,300.875,Dorsal_bladder
221.875,300.875,Dorsal_bladder
219.375,301,Dorsal_bladder
217,300.75,Dorsal_bladder
215.375,300.5,Dorsal_bladder
211.75,300.625,Dorsal_bladder
210.125,300.75,Dorsal_bladder
208.5,300.5,Dorsal_bladder
204.5,300.25,Dorsal_bladder
202.5,300.25,Dorsal_bladder
200.125,300.375,Dorsal_bladder
197.25,300.375,Dorsal_bladder
195.25,300.25,Dorsal_bladder
192.625,300.5,Dorsal_bladder
190.125,300.625,Dorsal_bladder
186.875,300.625,Dorsal_bladder
184,300.5,Dorsal_bladder
182.125,300.75,Dorsal_bladder
179.125,301,Dorsal_bladder
174.875,301.125,Dorsal_bladder
170,301.5,Dorsal_bladder
166.875,301.5,Dorsal_bladder
164,302.25,Dorsal_bladder
161.5,302.5,Dorsal_bladder
155.875,303.5,Dorsal_bladder
154,304.25,Dorsal_bladder
152.875,305.625,Dorsal_bladder
152.25,307.5,Dorsal_bladder
152.875,309.5,Dorsal_bladder
153.25,312.125,Dorsal_bladder
153.75,314.125,Dorsal_bladder
155.375,314.75,Dorsal_bladder
157.25,314.625,Dorsal_bladder
159.625,315,Dorsal_bladder
161,314.625,Dorsal_bladder
162.75,315,Dorsal_bladder
164.5,315.75,Dorsal_bladder
166.125,316.25,Dorsal_bladder
168.125,316.5,Dorsal_bladder
171.125,316.25,Dorsal_bladder
174.25,316.375,Dorsal_bladder
178.5,316.625,Dorsal_bladder
181.375,316.5,Dorsal_bladder
185,316.375,Dorsal_bladder
187.5,316.25,Dorsal_bladder
190.25,316.375,Dorsal_bladder
193.25,316.875,Dorsal_bladder
196.5,317.125,Dorsal_bladder
200,317.5,Dorsal_bladder
203,317.5,Dorsal_bladder
206.5,317.375,Dorsal_bladder
210,317.375,Dorsal_bladder
213.75,317,Dorsal_bladder
215.625,317,Dorsal_bladder
219.25,316.875,Dorsal_bladder
221.75,316.875,Dorsal_bladder
225.5,317,Dorsal_bladder
