BX,BY,asp1
346.625,314.125,Dorsal_bladder
340.125,313,Dorsal_bladder
332.125,312.5,Dorsal_bladder
322.375,311.125,Dorsal_bladder
313.25,309.625,Dorsal_bladder
301.375,307.625,Dorsal_bladder
295.125,306.125,Dorsal_bladder
283.875,304.5,Dorsal_bladder
277.875,304.375,Dorsal_bladder
268.875,304,Dorsal_bladder
258.375,304.125,Dorsal_bladder
246.125,303.875,Dorsal_bladder
237.75,304.5,Dorsal_bladder
233.625,304.625,Dorsal_bladder
228.25,303.875,Dorsal_bladder
221.375,302.5,Dorsal_bladder
210.75,301.5,Dorsal_bladder
204.25,302.875,Dorsal_bladder
202.625,304.875,Dorsal_bladder
201.625,308.5,Dorsal_bladder
200.375,308,Dorsal_bladder
199.625,306.125,Dorsal_bladder
198.125,305,Dorsal_bladder
194.125,303.5,Dorsal_bladder
183.75,304,Dorsal_bladder
175.875,305.375,Dorsal_bladder
171.25,305.625,Dorsal_bladder
169.75,304.875,Dorsal_bladder
168.375,304.375,Dorsal_bladder
166.375,306.875,Dorsal_bladder
167.125,309.125,Dorsal_bladder
168.25,307,Dorsal_bladder
170.625,310.125,Dorsal_bladder
172.25,313,Dorsal_bladder
171.75,316.5,Dorsal_bladder
170.875,318.875,Dorsal_bladder
171.375,323.375,Dorsal_bladder
169.375,324.875,Dorsal_bladder
170.125,326.375,Dorsal_bladder
172.375,326,Dorsal_bladder
175.625,324.875,Dorsal_bladder
178.625,325.125,Dorsal_bladder
181.25,324.5,Dorsal_bladder
184.375,326,Dorsal_bladder
187.375,327,Dorsal_bladder
190.25,327.625,Dorsal_bladder
195.375,329.125,Dorsal_bladder
202.375,331,Dorsal_bladder
208.875,330.375,Dorsal_bladder
210.625,329,Dorsal_bladder
211.625,326.125,Dorsal_bladder
212.25,329,Dorsal_bladder
214.75,331.125,Dorsal_bladder
220.875,333,Dorsal_bladder
230.25,335.375,Dorsal_bladder
241.375,335.875,Dorsal_bladder
252.75,335.125,Dorsal_bladder
260.875,334.125,Dorsal_bladder
268.25,332.375,Dorsal_bladder
276.375,329.875,Dorsal_bladder
284.75,327.875,Dorsal_bladder
291.375,326.125,Dorsal_bladder
298.625,324.125,Dorsal_bladder
304.125,321.375,Dorsal_bladder
307.75,321.375,Dorsal_bladder
312.75,320.375,Dorsal_bladder
316.625,319.875,Dorsal_bladder
320.125,319.125,Dorsal_bladder
325.625,319.375,Dorsal_bladder
330.75,317.5,Dorsal_bladder
336.875,317.625,Dorsal_bladder
342.125,317,Dorsal_bladder
345.25,316.125,Dorsal_bladder
491.75,316.25,Dorsal_body
490.875,314.375,Dorsal_body
487.625,313.5,Dorsal_body
478.25,311.875,Dorsal_body
473.125,310.5,Dorsal_body
468.375,309.5,Dorsal_body
463.375,308.375,Dorsal_body
459.25,307.875,Dorsal_body
455.375,307,Dorsal_body
451.25,306.375,Dorsal_body
446.125,305.875,Dorsal_body
440.625,305.25,Dorsal_body
433.125,304.375,Dorsal_body
426.25,303.5,Dorsal_body
415.625,302.375,Dorsal_body
403.25,301.25,Dorsal_body
390.75,299.5,Dorsal_body
379.875,298.375,Dorsal_body
369.75,297.375,Dorsal_body
362.25,296.375,Dorsal_body
353.75,295.75,Dorsal_body
346.125,295.25,Dorsal_body
338.125,294.25,Dorsal_body
332,293.75,Dorsal_body
323.625,292.875,Dorsal_body
315.75,292,Dorsal_body
305.75,290.875,Dorsal_body
299.25,290.25,Dorsal_body
290.5,289.375,Dorsal_body
278.625,288.375,Dorsal_body
272.25,287.875,Dorsal_body
263.625,287.375,Dorsal_body
253.625,286.375,Dorsal_body
244.125,285.5,Dorsal_body
233.25,284.875,Dorsal_body
224.25,284.875,Dorsal_body
215.125,285.375,Dorsal_body
208.625,285.75,Dorsal_body
201.25,286.25,Dorsal_body
195,286.375,Dorsal_body
192,286.375,Dorsal_body
184.625,284.375,Dorsal_body
182.5,285.25,Dorsal_body
180.5,285.25,Dorsal_body
175.25,285.875,Dorsal_body
170.625,286.375,Dorsal_body
164.625,287,Dorsal_body
155.5,288.25,Dorsal_body
150.625,288.875,Dorsal_body
144.625,289.25,Dorsal_body
138.625,290.25,Dorsal_body
132.5,291,Dorsal_body
128.5,291.75,Dorsal_body
124.5,290.75,Dorsal_body
120.25,290.5,Dorsal_body
116.25,291.25,Dorsal_body
112.125,293.25,Dorsal_body
109.5,296.375,Dorsal_body
102.25,299,Dorsal_body
95,300.75,Dorsal_body
90.25,303,Dorsal_body
83.625,306.375,Dorsal_body
81,309.875,Dorsal_body
80,314.375,Dorsal_body
83.5,321.75,Dorsal_body
88.125,325.375,Dorsal_body
95,328.5,Dorsal_body
102.125,330.875,Dorsal_body
106,332.25,Dorsal_body
110.25,333.75,Dorsal_body
115.625,338.375,Dorsal_body
122.125,340.5,Dorsal_body
125.75,339.375,Dorsal_body
128.125,338.875,Dorsal_body
136.125,340.25,Dorsal_body
148.75,341.75,Dorsal_body
154.5,342,Dorsal_body
181,344.5,Dorsal_body
190.25,344.25,Dorsal_body
209.5,344.5,Dorsal_body
230,345.375,Dorsal_body
245.25,345.375,Dorsal_body
257.75,344.875,Dorsal_body
268.75,343.25,Dorsal_body
275.25,342.375,Dorsal_body
283.5,341.25,Dorsal_body
296,339.375,Dorsal_body
307.625,337.5,Dorsal_body
321.875,335.875,Dorsal_body
340.75,334,Dorsal_body
370,331.125,Dorsal_body
398.75,329,Dorsal_body
420,326.875,Dorsal_body
439.875,324.625,Dorsal_body
452.75,322.875,Dorsal_body
463.375,321.125,Dorsal_body
477.75,319.625,Dorsal_body
484.875,318.875,Dorsal_body
490.125,318,Dorsal_body
340.625,304.75,Lateral_bladder
339.5,303.75,Lateral_bladder
337.625,302.75,Lateral_bladder
336.375,302.625,Lateral_bladder
334.875,302.75,Lateral_bladder
333.625,302.5,Lateral_bladder
331.375,301.75,Lateral_bladder
329.25,301.75,Lateral_bladder
327.875,301.75,Lateral_bladder
325.5,301.75,Lateral_bladder
323.875,301,Lateral_bladder
321.375,300.5,Lateral_bladder
318.625,300.25,Lateral_bladder
316.75,300,Lateral_bladder
314,300,Lateral_bladder
311.625,300.125,Lateral_bladder
309.25,300,Lateral_bladder
305.25,298.625,Lateral_bladder
302,298,Lateral_bladder
299.375,297.25,Lateral_bladder
298.125,297,Lateral_bladder
296.25,297,Lateral_bladder
292.5,296.25,Lateral_bladder
289.75,296,Lateral_bladder
286.125,295.25,Lateral_bladder
283.25,294.25,Lateral_bladder
280.125,293.5,Lateral_bladder
276.375,292.875,Lateral_bladder
273.5,291.875,Lateral_bladder
270.25,291.25,Lateral_bladder
267.25,290.75,Lateral_bladder
264,290,Lateral_bladder
262.5,289.5,Lateral_bladder
259.75,289,Lateral_bladder
256.5,288.125,Lateral_bladder
255,288.125,Lateral_bladder
251.25,287.5,Lateral_bladder
247.875,286.625,Lateral_bladder
245.5,286.625,Lateral_bladder
241.875,286.125,Lateral_bladder
240.5,286.125,Lateral_bladder
236.125,285.75,Lateral_bladder
233.5,285.5,Lateral_bladder
231.75,285.375,Lateral_bladder
226.375,285.125,Lateral_bladder
223,284.75,Lateral_bladder
220.5,284.75,Lateral_bladder
216.5,284.25,Lateral_bladder
214.75,284.25,Lateral_bladder
210.75,283.5,Lateral_bladder
208,283.5,Lateral_bladder
204.75,283.25,Lateral_bladder
201.75,283,Lateral_bladder
198.125,283,Lateral_bladder
195,283.25,Lateral_bladder
191,283.5,Lateral_bladder
188,283.75,Lateral_bladder
184.875,283.625,Lateral_bladder
181.125,284,Lateral_bladder
177.25,284.625,Lateral_bladder
173.75,285.125,Lateral_bladder
170,285.75,Lateral_bladder
167.75,286.875,Lateral_bladder
166,288.5,Lateral_bladder
165.25,289.5,Lateral_bladder
166,290.75,Lateral_bladder
