BX,BY,asp1
356.25,295.625,Dorsal_bladder
349.875,294.75,Dorsal_bladder
346.25,295.125,Dorsal_bladder
340.625,294.75,Dorsal_bladder
335.625,295,Dorsal_bladder
331.875,294.625,Dorsal_bladder
323.125,293.5,Dorsal_bladder
318.375,292.75,Dorsal_bladder
314.375,292.5,Dorsal_bladder
310.625,292,Dorsal_bladder
306.625,291.25,Dorsal_bladder
302.625,291,Dorsal_bladder
297.875,290.5,Dorsal_bladder
294.75,290,Dorsal_bladder
289.75,289.75,Dorsal_bladder
286.75,289,Dorsal_bladder
283.125,289.125,Dorsal_bladder
279.875,288.625,Dorsal_bladder
275.625,288.25,Dorsal_bladder
271.375,288.25,Dorsal_bladder
268.375,287.125,Dorsal_bladder
264.25,287.75,Dorsal_bladder
261.25,288,Dorsal_bladder
257.625,287.125,Dorsal_bladder
252.75,287.25,Dorsal_bladder
246.625,286.75,Dorsal_bladder
244.625,287.125,Dorsal_bladder
240.625,287,Dorsal_bladder
236.375,287.25,Dorsal_bladder
232.25,287.625,Dorsal_bladder
228.625,287.625,Dorsal_bladder
226.75,287.75,Dorsal_bladder
223.75,287.75,Dorsal_bladder
218.75,287.625,Dorsal_bladder
215.25,287.5,Dorsal_bladder
211.25,287.625,Dorsal_bladder
207.75,287.75,Dorsal_bladder
203.875,288.5,Dorsal_bladder
198.125,289,Dorsal_bladder
194.375,289.125,Dorsal_bladder
186.875,289.5,Dorsal_bladder
183.25,289.625,Dorsal_bladder
179.375,289.75,Dorsal_bladder
177.125,289.5,Dorsal_bladder
174.75,289.125,Dorsal_bladder
172,288.5,Dorsal_bladder
167.375,288.875,Dorsal_bladder
164.375,287.5,Dorsal_bladder
160.75,287.875,Dorsal_bladder
159,288.375,Dorsal_bladder
156.875,288.875,Dorsal_bladder
154.75,289.5,Dorsal_bladder
152.5,289.375,Dorsal_bladder
149.875,288.875,Dorsal_bladder
147.75,288.5,Dorsal_bladder
144.875,290.375,Dorsal_bladder
143.875,292.5,Dorsal_bladder
143.875,294.875,Dorsal_bladder
145.375,296.375,Dorsal_bladder
145.375,298.125,Dorsal_bladder
145.25,300.375,Dorsal_bladder
144,302.875,Dorsal_bladder
142.75,304,Dorsal_bladder
143,307.375,Dorsal_bladder
144.75,310.875,Dorsal_bladder
149.75,310.875,Dorsal_bladder
154.25,309.125,Dorsal_bladder
159.375,309.5,Dorsal_bladder
165,310,Dorsal_bladder
172,311,Dorsal_bladder
180.375,311.125,Dorsal_bladder
185.25,311.5,Dorsal_bladder
191,311.5,Dorsal_bladder
198.75,311,Dorsal_bladder
205.5,310.125,Dorsal_bladder
209.375,310.375,Dorsal_bladder
215.25,310.5,Dorsal_bladder
220.875,311,Dorsal_bladder
226.375,311.125,Dorsal_bladder
230,311.5,Dorsal_bladder
235.25,311,Dorsal_bladder
241.25,311,Dorsal_bladder
248.375,310.875,Dorsal_bladder
253,310.875,Dorsal_bladder
258.5,310.5,Dorsal_bladder
265.5,310.375,Dorsal_bladder
271.75,309.375,Dorsal_bladder
276.75,309.25,Dorsal_bladder
281.625,308.875,Dorsal_bladder
289,308,Dorsal_bladder
294,307.25,Dorsal_bladder
297,306.875,Dorsal_bladder
302.25,306.375,Dorsal_bladder
306.5,305.5,Dorsal_bladder
310.625,304.75,Dorsal_bladder
314,303,Dorsal_bladder
317.125,302,Dorsal_bladder
320.75,301.75,Dorsal_bladder
323.25,302.5,Dorsal_bladder
325.25,301.5,Dorsal_bladder
328.625,302.875,Dorsal_bladder
332.625,301,Dorsal_bladder
334.75,301,Dorsal_bladder
