BX,BY,asp1
310.125,318.375,Dorsal_bladder
307.25,317.125,Dorsal_bladder
304.25,316.625,Dorsal_bladder
302,316.375,Dorsal_bladder
299.625,315.75,Dorsal_bladder
294.5,314.375,Dorsal_bladder
291.875,314.125,Dorsal_bladder
288.875,313.625,Dorsal_bladder
286.75,313.125,Dorsal_bladder
283.875,312.625,Dorsal_bladder
279.5,311.5,Dorsal_bladder
276.625,311.125,Dorsal_bladder
274,310.875,Dorsal_bladder
272.375,310,Dorsal_bladder
268.25,309.75,Dorsal_bladder
265.5,309.25,Dorsal_bladder
263.5,308.75,Dorsal_bladder
259.125,308.125,Dorsal_bladder
257.375,307.875,Dorsal_bladder
252.375,307.25,Dorsal_bladder
249,307.25,Dorsal_bladder
245.625,307,Dorsal_bladder
243,306.875,Dorsal_bladder
237.5,306.625,Dorsal_bladder
233.875,306.75,Dorsal_bladder
230.75,306.375,Dorsal_bladder
228.125,306.375,Dorsal_bladder
225.5,306.625,Dorsal_bladder
224.125,306.625,Dorsal_bladder
221.625,306.5,Dorsal_bladder
220.125,306.25,Dorsal_bladder
217.875,306.25,Dorsal_bladder
213.125,306.375,Dorsal_bladder
210.125,306.875,Dorsal_bladder
206.875,307,Dorsal_bladder
204.625,307.5,Dorsal_bladder
202,307.75,Dorsal_bladder
200.5,308,Dorsal_bladder
199.5,309.25,Dorsal_bladder
199,310.75,Dorsal_bladder
198.625,309.5,Dorsal_bladder
198.375,308.25,Dorsal_bladder
197.625,306.5,Dorsal_bladder
196.375,305.875,Dorsal_bladder
194.5,305,Dorsal_bladder
192.5,304.25,Dorsal_bladder
190.375,303.875,Dorsal_bladder
188.25,303.125,Dorsal_bladder
186.875,303.125,Dorsal_bladder
184.625,303.125,Dorsal_bladder
182.75,303.625,Dorsal_bladder
180.375,304.625,Dorsal_bladder
178.125,305.5,Dorsal_bladder
177.375,306.25,Dorsal_bladder
176,306.5,Dorsal_bladder
175.125,305.75,Dorsal_bladder
172.25,305.75,Dorsal_bladder
169.25,306.25,Dorsal_bladder
167.75,307,Dorsal_bladder
165.375,307.375,Dorsal_bladder
163.25,307.25,Dorsal_bladder
161.125,307.25,Dorsal_bladder
159.375,307,Dorsal_bladder
158.25,307.25,Dorsal_bladder
158,309.5,Dorsal_bladder
158.75,311.5,Dorsal_bladder
159,314.5,Dorsal_bladder
159.625,319.25,Dorsal_bladder
159.75,321.125,Dorsal_bladder
159.125,323.375,Dorsal_bladder
161.625,325,Dorsal_bladder
165.625,327,Dorsal_bladder
168.875,328.875,Dorsal_bladder
171.75,330.375,Dorsal_bladder
174.5,331.125,Dorsal_bladder
177.125,331.875,Dorsal_bladder
180.625,332.25,Dorsal_bladder
183.75,332.25,Dorsal_bladder
186.125,331.5,Dorsal_bladder
187.5,330.375,Dorsal_bladder
187.75,329.5,Dorsal_bladder
188.625,331.875,Dorsal_bladder
189.625,333.625,Dorsal_bladder
191.125,335.5,Dorsal_bladder
193.25,336.125,Dorsal_bladder
196.625,337,Dorsal_bladder
200,337.25,Dorsal_bladder
202.75,337.5,Dorsal_bladder
206.25,338.125,Dorsal_bladder
