"x_fb","w_fb","z_fbU","z_fbL"
0,0,-0.00958922480924011,-0.00958922480924011
0,0,-0.00958922480924011,-0.00958922480924011
0.01,0.0140804646624467,5.84135562341002e-05,-0.039728613910601
0.01,0.0140804646624467,5.84135562341002e-05,-0.039728613910601
0.02,0.0281609293248935,0.00885188819308967,-0.0425857567677439
0.02,0.0281609293248935,0.00885188819308967,-0.0425857567677439
0.03,0.0406506724762562,0.0145661739073754,-0.0454428996248867
0.03,0.0406506724762562,0.0145661739073754,-0.0454428996248867
0.04,0.047012376729002,0.0202804596216611,-0.0483000424820296
0.04,0.047012376729002,0.0202804596216611,-0.0483000424820296
0.05,0.0523695195861448,0.0259947453359468,-0.0511571853391725
0.05,0.0523695195861448,0.0259947453359468,-0.0511571853391725
0.06,0.0577266624432877,0.0317090310502325,-0.0541490787529822
0.06,0.0577266624432877,0.0317090310502325,-0.0541490787529822
0.07,0.0630838053004305,0.0356127688389315,-0.0571490787529822
0.07,0.0630838053004305,0.0356127688389315,-0.0571490787529822
0.08,0.0691828349246435,0.0384699116960744,-0.0601490787529822
0.08,0.0691828349246435,0.0384699116960744,-0.0601490787529822
0.09,0.0759685492103578,0.0413270545532172,-0.0631490787529822
0.09,0.0759685492103578,0.0413270545532172,-0.0631490787529822
0.1,0.0827542634960721,0.0441841974103601,-0.0661490787529822
0.1,0.0827542634960721,0.0441841974103601,-0.0661490787529822
0.11,0.0895399777817864,0.0469982908293935,-0.0691490787529823
0.11,0.0895399777817864,0.0469982908293935,-0.0691490787529823
0.12,0.0952430608525808,0.0489982908293935,-0.071841511755012
0.12,0.0952430608525808,0.0489982908293935,-0.071841511755012
0.13,0.0969938469906031,0.0509982908293935,-0.0740637339772342
0.13,0.0969938469906031,0.0509982908293935,-0.0740637339772342
0.14,0.0981049581017142,0.0529982908293935,-0.0762859561994564
0.14,0.0981049581017142,0.0529982908293935,-0.0762859561994564
0.15,0.0992160692128253,0.0549982908293935,-0.0785081784216786
0.15,0.0992160692128253,0.0549982908293935,-0.0785081784216786
0.16,0.100327180323936,0.0569982908293936,-0.0807304006439008
0.16,0.100327180323936,0.0569982908293936,-0.0807304006439008
0.17,0.102067000418366,0.0589982908293936,-0.0829526228661231
0.17,0.102067000418366,0.0589982908293936,-0.0829526228661231
0.18,0.104423797535244,0.0609982908293936,-0.0840583701307948
0.18,0.104423797535244,0.0609982908293936,-0.0840583701307948
0.19,0.106784908646355,0.0629982908293936,-0.0840583701307948
0.19,0.106784908646355,0.0629982908293936,-0.0840583701307948
0.2,0.109146019757466,0.0649982908293936,-0.0840583701307948
0.2,0.109146019757466,0.0649982908293936,-0.0840583701307948
0.21,0.111507130868577,0.0669567438431907,-0.0840583701307948
0.21,0.111507130868577,0.0669567438431907,-0.0840583701307948
0.22,0.113872086195835,0.0687749256613725,-0.0840583701307948
0.22,0.113872086195835,0.0687749256613725,-0.0840583701307948
0.23,0.116253038576788,0.0705931074795543,-0.0847652519011051
0.23,0.116253038576788,0.0705931074795543,-0.0847652519011051
0.24,0.11863399095774,0.0724112892977361,-0.0855344826703359
0.24,0.11863399095774,0.0724112892977361,-0.0855344826703359
0.25,0.121014943338692,0.0742294711159179,-0.0863037134395666
0.25,0.121014943338692,0.0742294711159179,-0.0863037134395666
0.26,0.123395895719645,0.0760476529340998,-0.0870729442087974
0.26,0.123395895719645,0.0760476529340998,-0.0870729442087974
0.27,0.125776848100597,0.0778658347522816,-0.0878421749780282
0.27,0.125776848100597,0.0778658347522816,-0.0878421749780282
0.28,0.128157800481549,0.0796584924992851,-0.0886114057472589
0.28,0.128157800481549,0.0796584924992851,-0.0886114057472589
0.29,0.130487148908771,0.0804918258326184,-0.0893806365164897
0.29,0.130487148908771,0.0804918258326184,-0.0893806365164897
0.3,0.131201434623057,0.0813251591659518,-0.0901498672857205
0.3,0.131201434623057,0.0813251591659518,-0.0901498672857205
0.31,0.131317745562121,0.0821584924992851,-0.0909759921114227
0.31,0.131317745562121,0.0821584924992851,-0.0909759921114227
0.32,0.131317745562121,0.0829918258326184,-0.0918850830205136
0.32,0.131317745562121,0.0829918258326184,-0.0918850830205136
0.33,0.131317745562121,0.0838251591659518,-0.0927941739296046
0.33,0.131317745562121,0.0838251591659518,-0.0927941739296046
0.34,0.131317745562121,0.0846584924992851,-0.0937032648386955
0.34,0.131317745562121,0.0846584924992851,-0.0937032648386955
0.35,0.131317745562121,0.0854918258326184,-0.0946123557477864
0.35,0.131317745562121,0.0854918258326184,-0.0946123557477864
0.36,0.131317745562121,0.0861847058218514,-0.0955214466568773
0.36,0.131317745562121,0.0861847058218514,-0.0955214466568773
0.37,0.131317745562121,0.0861847058218514,-0.0964305375659682
0.37,0.131317745562121,0.0861847058218514,-0.0964305375659682
0.38,0.131317745562121,0.0861847058218514,-0.0973581921867729
0.38,0.131317745562121,0.0861847058218514,-0.0973581921867729
0.39,0.131317745562121,0.0861847058218514,-0.0983581921867729
0.39,0.131317745562121,0.0861847058218514,-0.0983581921867729
0.4,0.131317745562121,0.0861847058218514,-0.0993581921867729
0.4,0.131317745562121,0.0861847058218514,-0.0993581921867729
0.41,0.131317745562121,0.0861847058218514,-0.100358192186773
0.41,0.131317745562121,0.0861847058218514,-0.100358192186773
0.42,0.131317745562121,0.0861847058218514,-0.101358192186773
0.42,0.131317745562121,0.0861847058218514,-0.101358192186773
0.43,0.131317745562121,0.0861847058218514,-0.102358192186773
0.43,0.131317745562121,0.0861847058218514,-0.102358192186773
0.44,0.131317745562121,0.0861847058218514,-0.103358192186773
0.44,0.131317745562121,0.0861847058218514,-0.103358192186773
0.45,0.131317745562121,0.0861847058218514,-0.102972479510054
0.45,0.131317745562121,0.0861847058218514,-0.102972479510054
0.46,0.131317745562121,0.0861847058218514,-0.101861368398942
0.46,0.131317745562121,0.0861847058218514,-0.101861368398942
0.47,0.131317745562121,0.0861847058218514,-0.100750257287831
0.47,0.131317745562121,0.0861847058218514,-0.100750257287831
0.48,0.131317745562121,0.0861847058218514,-0.0996391461767202
0.48,0.131317745562121,0.0861847058218514,-0.0996391461767202
0.49,0.131317745562121,0.0861847058218514,-0.0985280350656091
0.49,0.131317745562121,0.0861847058218514,-0.0985280350656091
0.5,0.131317745562121,0.0861847058218514,-0.097416923954498
0.5,0.131317745562121,0.0861847058218514,-0.097416923954498
0.51,0.131317745562121,0.0861847058218514,-0.0971539913579215
0.51,0.131317745562121,0.0861847058218514,-0.0971539913579215
0.52,0.131317745562121,0.0861847058218514,-0.0971539913579215
0.52,0.131317745562121,0.0861847058218514,-0.0971539913579215
0.53,0.131317745562121,0.085296908622949,-0.0971539913579215
0.53,0.131317745562121,0.085296908622949,-0.0971539913579215
0.54,0.131317745562121,0.0841857975118379,-0.0971539913579215
0.54,0.131317745562121,0.0841857975118379,-0.0971539913579215
0.55,0.130589121355565,0.0830746864007268,-0.0971539913579215
0.55,0.130589121355565,0.0830746864007268,-0.0971539913579215
0.56,0.128589121355565,0.0819635752896157,-0.0971539913579215
0.56,0.128589121355565,0.0819635752896157,-0.0971539913579215
0.57,0.126589121355565,0.0808524641785046,-0.0971539913579215
0.57,0.126589121355565,0.0808524641785046,-0.0971539913579215
0.58,0.124589121355565,0.0797413530673935,-0.0971539913579215
0.58,0.124589121355565,0.0797413530673935,-0.0971539913579215
0.59,0.12171921130835,0.0785044102997816,-0.0967951244072803
0.59,0.12171921130835,0.0785044102997816,-0.0967951244072803
0.6,0.118608100197239,0.0772544102997816,-0.0953665529787088
0.6,0.118608100197239,0.0772544102997816,-0.0953665529787088
0.61,0.116024087310976,0.0760044102997816,-0.0939379815501374
0.61,0.116024087310976,0.0760044102997816,-0.0939379815501374
0.62,0.114246309533199,0.0747544102997816,-0.0925094101215659
0.62,0.114246309533199,0.0747544102997816,-0.0925094101215659
0.63,0.112468531755421,0.0735044102997817,-0.0910808386929945
0.63,0.112468531755421,0.0735044102997817,-0.0910808386929945
0.64,0.110831208490913,0.0724213451587703,-0.0891223153311258
0.64,0.110831208490913,0.0724213451587703,-0.0891223153311258
0.65,0.109395311055016,0.0714213451587703,-0.0869000931089036
0.65,0.109395311055016,0.0714213451587703,-0.0869000931089036
0.66,0.107959413619119,0.0704213451587703,-0.0846778708866814
0.66,0.107959413619119,0.0704213451587703,-0.0846778708866814
0.67,0.106523516183221,0.0694213451587703,-0.0824556486644591
0.67,0.106523516183221,0.0694213451587703,-0.0824556486644591
0.68,0.105087618747324,0.0684213451587703,-0.0802334264422369
0.68,0.105087618747324,0.0684213451587703,-0.0802334264422369
0.69,0.103651721311426,0.0674213451587703,-0.0780112042200147
0.69,0.103651721311426,0.0674213451587703,-0.0780112042200147
0.7,0.101830629143044,0.0664080197340602,-0.0759611397497364
0.7,0.101830629143044,0.0664080197340602,-0.0759611397497364
0.71,0.0995229368353518,0.0652969086229491,-0.0739611397497364
0.71,0.0995229368353518,0.0652969086229491,-0.0739611397497364
0.72,0.0969021942938706,0.0641857975118379,-0.0719611397497364
0.72,0.0969021942938706,0.0641857975118379,-0.0719611397497364
0.73,0.094113732755409,0.0630746864007268,-0.0699611397497364
0.73,0.094113732755409,0.0630746864007268,-0.0699611397497364
0.74,0.0913252712169475,0.0619635752896157,-0.0679611397497364
0.74,0.0913252712169475,0.0619635752896157,-0.0679611397497364
0.75,0.0885368096784859,0.0608524641785046,-0.0659611397497364
0.75,0.0885368096784859,0.0608524641785046,-0.0659611397497364
0.76,0.0857483481400244,0.0593746471761867,-0.0639107176896954
0.76,0.0857483481400244,0.0593746471761867,-0.0639107176896954
0.77,0.0829598866015628,0.0566473744489139,-0.0616884954674732
0.77,0.0829598866015628,0.0566473744489139,-0.0616884954674732
0.78,0.0807336415891775,0.0539201017216412,-0.059466273245251
0.78,0.0807336415891775,0.0539201017216412,-0.059466273245251
0.79,0.0787693558748918,0.0511928289943684,-0.0572440510230288
0.79,0.0787693558748918,0.0511928289943684,-0.0572440510230288
0.8,0.0768050701606061,0.0484655562670957,-0.0550218288008065
0.8,0.0768050701606061,0.0484655562670957,-0.0550218288008065
0.81,0.0747428204274345,0.0457382835398229,-0.0527996065785843
0.81,0.0747428204274345,0.0457382835398229,-0.0527996065785843
0.82,0.0718063124909266,0.0430110108125502,-0.050206418003054
0.82,0.0718063124909266,0.0430110108125502,-0.050206418003054
0.83,0.0688698045544186,0.0402892625387466,-0.0468730846697207
0.83,0.0688698045544186,0.0402892625387466,-0.0468730846697207
0.84,0.0659332966179107,0.0377892625387467,-0.0435397513363874
0.84,0.0659332966179107,0.0377892625387467,-0.0435397513363874
0.85,0.0629967886814028,0.0352892625387467,-0.040206418003054
0.85,0.0629967886814028,0.0352892625387467,-0.040206418003054
0.86,0.0596416878608571,0.0327892625387467,-0.0368730846697206
0.86,0.0596416878608571,0.0327892625387467,-0.0368730846697206
0.87,0.0546098285278833,0.0302892625387466,-0.0335397513363873
0.87,0.0546098285278833,0.0302892625387466,-0.0335397513363873
0.88,0.04927649519455,0.0277892625387466,-0.030416341891516
0.88,0.04927649519455,0.0277892625387466,-0.030416341891516
0.89,0.0439431618612166,0.025944311792425,-0.0275591990343732
0.89,0.0439431618612166,0.025944311792425,-0.0275591990343732
0.9,0.0386098285278833,0.0242776451257583,-0.0247020561772303
0.9,0.0386098285278833,0.0242776451257583,-0.0247020561772303
0.91,0.0332764951945499,0.0226109784590916,-0.0218449133200875
0.91,0.0332764951945499,0.0226109784590916,-0.0218449133200875
0.92,0.0289393325008318,0.020944311792425,-0.0189877704629446
0.92,0.0289393325008318,0.020944311792425,-0.0189877704629446
0.93,0.0263996499611493,0.0192776451257583,-0.0164368321544717
0.93,0.0263996499611493,0.0192776451257583,-0.0164368321544717
0.94,0.0238599674214667,0.0176109784590916,-0.0139368321544717
0.94,0.0238599674214667,0.0176109784590916,-0.0139368321544717
0.95,0.0213202848817842,0.015944311792425,-0.0120324533815983
0.95,0.0213202848817842,0.015944311792425,-0.0120324533815983
0.96,0.0187806023421017,0.0142776451257583,-0.0120324533815983
0.96,0.0187806023421017,0.0142776451257583,-0.0120324533815983
0.97,0.0162409198024191,0.014158789072655,-0.0120324533815983
0.97,0.0162409198024191,0.014158789072655,-0.0120324533815983
0.98,0.0108571428571428,0.014158789072655,-0.010484642768035
0.98,0.0108571428571428,0.014158789072655,-0.010484642768035
0.99,0.0054285714285714,0.014158789072655,-0.007984642768035
0.99,0.0054285714285714,0.014158789072655,-0.007984642768035
1,0,0.014158789072655,-0.005484642768035
1,0,0.014158789072655,-0.005484642768035
