BX,BY,asp1
343.625,303.5,Dorsal_bladder
335.875,302.875,Dorsal_bladder
329.75,300.625,Dorsal_bladder
324.625,300.5,Dorsal_bladder
319.375,300.125,Dorsal_bladder
314,299.875,Dorsal_bladder
307.125,297.875,Dorsal_bladder
305.125,296.75,Dorsal_bladder
301.5,296.125,Dorsal_bladder
299.375,296,Dorsal_bladder
297.625,296,Dorsal_bladder
293.875,295.125,Dorsal_bladder
290.75,294.75,Dorsal_bladder
288.5,294.375,Dorsal_bladder
283.75,293.75,Dorsal_bladder
282,293.25,Dorsal_bladder
279,292.5,Dorsal_bladder
274.25,292,Dorsal_bladder
273.25,291.625,Dorsal_bladder
269.75,291.25,Dorsal_bladder
265.5,290.75,Dorsal_bladder
263.75,290.125,Dorsal_bladder
261.5,290.125,Dorsal_bladder
258.25,289.75,Dorsal_bladder
254.875,289.5,Dorsal_bladder
252.875,289.375,Dorsal_bladder
247.75,288.625,Dorsal_bladder
245.375,288.5,Dorsal_bladder
242.875,288.75,Dorsal_bladder
238,288.75,Dorsal_bladder
235,288.75,Dorsal_bladder
233,288.75,Dorsal_bladder
228.875,288.75,Dorsal_bladder
226.125,288.75,Dorsal_bladder
224.5,289,Dorsal_bladder
220.375,289,Dorsal_bladder
218.375,289,Dorsal_bladder
216.625,289.125,Dorsal_bladder
215.25,289.125,Dorsal_bladder
212,289.25,Dorsal_bladder
209.5,289.125,Dorsal_bladder
208.25,288.875,Dorsal_bladder
205.125,289.25,Dorsal_bladder
202.75,289.5,Dorsal_bladder
201.25,289.5,Dorsal_bladder
198.125,289.25,Dorsal_bladder
194.125,289.125,Dorsal_bladder
192.625,289.125,Dorsal_bladder
188.125,289.25,Dorsal_bladder
186.75,289.25,Dorsal_bladder
184.5,289.5,Dorsal_bladder
179.5,289.875,Dorsal_bladder
177.125,290.125,Dorsal_bladder
173.125,290.75,Dorsal_bladder
170.625,291.25,Dorsal_bladder
168.125,291.5,Dorsal_bladder
164.875,292.125,Dorsal_bladder
160.375,292.875,Dorsal_bladder
157,293.125,Dorsal_bladder
152.875,293.125,Dorsal_bladder
150.375,293.5,Dorsal_bladder
148.125,294.125,Dorsal_bladder
145.75,294.125,Dorsal_bladder
142.125,295,Dorsal_bladder
140.875,296.375,Dorsal_bladder
137.75,297.75,Dorsal_bladder
135.75,298.75,Dorsal_bladder
134.375,301.25,Dorsal_bladder
134.125,305,Dorsal_bladder
136.5,308.5,Dorsal_bladder
